product_name,code_name,subtitle,symbol_label,description,amount_and_price,assessment_text,assessment_base,nutrition_interaction,label,product_type,dosage,ingredients,does_not_contain
"<h1 class=""h0"">Vitamin B12</h1>",vitamin-b-12_1,"<h3 class=""h4 subtitle"">The Energizer</h3>","Energy, ","Made with organic vitamin B12 and fermented with food and probiotics, our Vitamin B12 is easy to digest. We’ve formulated it with vegans in mind.
",1 capsule per day+ $5/mo,"Vitamin B12 is essential, it keeps blood cells healthy and is used to make DNA. Nearly 1 in 10 people in the US are deficient in B12, and more people get less than the the FDA recommends. B12 deficiency can cause tiredness, constipation, nerve problems, and other issues. 
 
If you're low on B12, consider supplementation. It is generally found in animal foods, so if you're vegetarian, you may not be getting enough of it. Older adults and people with certain health conditions have trouble absorbing B12, which can also lead to deficiency.",Strong Research,"Vegetarians have a higher risk of deficiency, Supports cognitive & nervous system health, ","Non-GMO, Fermented, Vegetarian, Gluten Free, Vegan, ",1 capsule,250 mcgVitamin B12+,"Vitamin B12, Culture Media, Organic tapioca maltodextrin, Organic Rice Extract, Organic gum arabic, Sunflower oil, Hypromellose (capsule shell), Organic Rice Hull Concentrate, ","Milk, Eggs, Fish, Shellfish, Tree Nuts, Peanuts, Wheat, Ragweed"
"<h1 class=""h0"">B-Complex</h1>",b-complex_3,"<h3 class=""h4 subtitle"">The Busy B's</h3>","Energy, ","Our B Complex contains all 8 B vitamins, fermented for better absorption, so it’s easier to digest and can be taken on an empty stomach. It also includes methylfolate, a superior form of folate, and methylcobalamin, a superior form of Vitamin B-12.
",1 tablet per day+ $12/mo,"Medical research clearly shows that the B vitamins play important roles in the body. They help you produce energy, create blood cells, and are important for growth. Severe deficiency in B vitamins is rare, but it can cause health issues including fatigue, irritability, nausea, among others. 

The B vitamins that make up the B complex are found in a variety of foods. If your diet sometimes falls short, B-Complex can help you ensure you're getting enough of each of the B's. ",Strong Research,"Dietary sources and concerns, Supports the nervous system  , ","Non-GMO, Fermented, Vegetarian, Gluten Free, Vegan, ",1 tablet,7 mcgThiamin+9000 mcgRiboflavin+9 mgVitamin B6+,"Thiamin, Riboflavin, Vitamin B6, B12 methylcobalamin, Folate, Biotin, Pantothenic acid, Niacin, Acacia gum, Culture Media, Organic film coating, Silica, ","Milk, Eggs, Fish, Shellfish, Tree Nuts, Peanuts, Wheat, Ragweed"
"<h1 class=""h0"">Vitamin C</h1>",vitamin-c_1,"<h3 class=""h4 subtitle"">The Citrus Savior</h3>","Immunity, ","Our Vitamin C is fermented with organic yeast and foods, making it resemble Vitamin C in its food-based form. It is easy to digest and can be taken on an empty stomach.
",1 tablet per day+ $5/mo,"Vitamin C is a powerful antioxidant that plays a role in immune health, albeit one that has become over-inflated. People extremely deficient in vitamin C - and this is rare - can develop scurvy, a deficiency disease. 
 
Vitamin C is naturally found in fruits and vegetables, like oranges, broccoli, and tomatoes, and the best way to get it is to consume these foods raw. If you're not getting a lot of these foods in your diet, you may be getting less than the daily recommended amount. ",Mixed Research,"Eat your fruits and veggies, Helps maintain a healthy immune system, ","Non-GMO, Fermented, Vegetarian, Gluten Free, Vegan, ",1 tablet,250 mgVitamin C+,"Vitamin C, Culture media, Organic film coating, Organic Rice Hull Concentrate, Organic Rice Extract, Organic gum arabic, Sunflower oil, ","Milk, Eggs, Fish, Shellfish, Tree Nuts, Peanuts, Wheat, Ragweed"
"<h1 class=""h0"">Vitamin D</h1>",vitamin-d-1000_2,"<h3 class=""h4 subtitle"">The Sunny D3</h3>","Bones, ","Our Vitamin D is fermented with organic yeast and foods to make it easier for your body to digest.
",1 capsule per day+ $5/mo,"Vitamin D is essential for general health and for strong bones. Deficiency is rare, but has serious health consequences, like rickets. 

A 2011 study showed that over 70% of Americans get less than the daily recommended amount of vitamin D. If you don't get a lot of sun - which helps your body produce vitamin D - or if your diet is low in foods that contain it, you may be among them. Foods that contain vitamin D are fatty fish, beef liver, and fortified milk and cereal. 
",Very Strong Research,"Supports bone health, Absorbed from the sun, ","Fermented, Vegetarian, Gluten Free, ",1 capsule,1000 IUVitamin D+,"Vitamin D, Organic tapioca maltodextrin, Culture Media, Beet Juice Color, Organic Rice Hull Concentrate, Organic Rice Extract, ","Milk, Eggs, Fish, Shellfish, Tree Nuts, Peanuts, Wheat, Ragweed"
"<h1 class=""h0"">Prenatal</h1>",prenatal_1,"<h3 class=""h4 subtitle"">Baby Love</h3>","Prenatal, ","Our Prenatal vitamin is a twice a day formulation, fermented to make it easier to digest. As a result, it’s less likely to make you feel nauseous, as some vitamins do. It contains 22 nutrients crucial for a developing baby’s health, including a superior form of folic acid called methylfolate and choline, which has been studied for its health benefits.
",2 tablets per day+ $25/mo,"Research has shown that certain nutrients, like folic acid and iron, are essential for a healthy pregnancy and can reduce the chance of birth defects. Prenatal vitamins including these key nutrients are recommended for women who are pregnant, for woman who are planning to become pregnant, and for women who are breastfeeding. ",Very Strong Research,"Supports pregnancy, ","Non-GMO, Fermented, Vegetarian, Gluten Free, ",2 tablets,5000 IUVitamin A+60 mgVitamin C+1000 IUVitamin D3+,"Vitamin A, Vitamin C, Vitamin D3, Vitamin E, Vitamin K2, Thiamin, Riboflavin, Niacin, Vitamin B6, Folate, Vitamin B12, Biotin, Pantothenic acid, Iron, Iodine, Zinc, Selenium, Copper, Manganese, Chromium, Molybdenum, Choline, Acacia gum, Culture media, Organic film coating, Silica, ","Milk, Eggs, Fish, Shellfish, Tree Nuts, Peanuts, Wheat, Ragweed"
"<h1 class=""h0"">Vitamin K2</h1>",vitamin-k2_1,"<h3 class=""h4 subtitle"">Calcium's Friend</h3>","Heart, Bones, ","Our Vitamin K2 is made from a patented biofermentation process in Italy, using a process devoid of harsh solvents. Vitamin K2 is a form of vitamin K not commonly found in the western diet, so supplementation is a great way to get it.
",1 capsule per day+ $9/mo,"Scientists agree that Vitamin K2 is an essential nutrient: it helps you use the calcium in your body to maintain healthy bones. Vitamin K2 is not present in the foods that make up a typical western diet, so it's common for people to be getting less than the recommended daily amount. It is present in natto, a food popular in Japan, and in liver meats and egg yolks. ",Strong Research,"Supports heart health, Helps maintain healthy bones, ","Non-GMO, Fermented, Vegetarian, Gluten Free, Vegan, ",1 capsule,100 mcgVitamin K2+,"Vitamin K2, Organic tapioca maltodextrin, Organic Rice Hull Concentrate, Maltodextrin, Organic Rice Extract, Organic gum arabic, Sunflower oil, Hypromellose, ","Milk, Eggs, Fish, Shellfish, Tree Nuts, Peanuts, Wheat, Ragweed"
"<h1 class=""h0"">Multivitamin</h1>",whole-food-multivitamin_2,"<h3 class=""h4 subtitle"">The Daily Double</h3>",,"This multivitamin includes essential vitamins and minerals to complement a typical diet. The vitamins we include are all fermented with whole foods for easier digestion or derived from whole foods.
",2 tablets per day+ $15/mo,"The body requires essential vitamins and minerals to function, but most people don't perfectly meet the daily amounts of each recommended by the USDA. Taking a multivitamin is one way to help ensure that you are meeting those goals. As an alternative to taking a multivitamin, you can take a customized set of vitamins that better fill any gaps in your diet. ",Mixed Research,"Alcohol can deplete essential nutrients, Helps fill nutritional gaps, ","Non-GMO, Fermented, Vegetarian, Gluten Free, ",2 tablets,2500 IUVitamin A+60 mgVitamin C+1000 IUVitamin D3+,"Vitamin A, Vitamin C, Vitamin D3, Vitamin E, Vitamin K2, Thiamin, Riboflavin, Niacin, Vitamin B6, Folate, B12 methylcobalamin, Biotin, Pantothenic acid, Iodine, Zinc, Selenium, Copper, Manganese, Chromium, Molybdenum, Culture media, Organic gum arabic, Organic Rice Hull Concentrate, Organic film coating, Silica, ","Milk, Eggs, Fish, Shellfish, Tree Nuts, Peanuts, Wheat, Ragweed"
"<h1 class=""h0"">Magnesium</h1>",magnesium-small_1,"<h3 class=""h4 subtitle"">The Dream Weaver</h3>","Bones, ","Naturally and sustainably derived from Irish seawater, our magnesium has over seventy trace minerals for better absorption.
",2 tablets per day+ $8/mo,"Doctors and researchers agree that magnesium is essential for our bodies. Deficiencies can impact energy, sleep, regularity, and migraine headache frequency. Severe deficiencies are rare, but if you're not getting the recommended daily amount, get those levels up. You may be low if you don't eat a lot of leafy greens, beans, or nuts, which contain magnesium, or if you consume a lot of caffeine or alcohol, which deplete it.",Strong Research,"Helps maintain healthy bones, Helps relieve occasional sleeplessness, Alcohol can deplete magnesium, ","Non-GMO, Vegetarian, Gluten Free, Vegan, ",2 tablets,400 mgMagnesium+,"Magnesium, Microcrystalline cellulose, Vegetable stearic acid, Film coating, Silica, ","Milk, Eggs, Fish, Shellfish, Tree Nuts, Peanuts, Soy, Wheat, Ragweed"
"<h1 class=""h0"">Calcium Plus</h1>",bone-triad_2,"<h3 class=""h4 subtitle"">Bone Hugs and Harmony</h3>","Prenatal, Bones, ",We source our calcium from Icelandic red algae and then combine it with fermented vitamin D and vitamin K to form our Calcium Plus. Your bones will thank you.,3 tablets per day+ $12/mo,"Doctors agree that calcium is essential for important bodily functions like maintaining strong bones and muscle movement. Some people don't get the necessary levels of calcium from their diets, especially vegans and people who are lactose intolerant, and the ability for the body to absorb calcium decreases with age. If you may be getting less than the daily recommended amount, it's important to get your levels up.",Very Strong Research,"Caffeine can deplete calcium, Alcohol can deplete calcium, Smoking can deplete calcium, Supports bone health, ","Non-GMO, Vegetarian, Gluten Free, ",3 tablets,789 mgCalcium+999 IUVitamin D+99 mcgVitamin K2+,"Calcium, Vitamin D, Vitamin K2, Corn starch, Magnesium, Maltodextrin, Culture Media, Microcrystalline cellulose, Vegetable stearic acid, Film coating, Silica, Medium Chain Triglycerides, ","Milk, Eggs, Fish, Shellfish, Tree Nuts, Peanuts, Wheat, Ragweed"
"<h1 class=""h0"">Iron</h1>",iron_1,"<h3 class=""h4 subtitle"">The Blood Booster</h3>","Energy, Prenatal, ","Iron is an essential mineral for red blood cell production, impacting energy levels and cognition by helping to transport oxygen throughout the body. Our iron is chelated for better absorption and made in the United States.
",1 capsule per day+ $5/mo,"Iron is an essential mineral that plays a role in critical bodily functions. Deficiency in iron has detrimental consequences, including fatigue and iron-deficiency anemia, which affects 30% of people worldwide. The amount of iron you need depends on your age and gender, and some groups are more likely to be getting less iron than they need, like vegetarians, who don't absorb as much iron from plant sources, and women who are pregnant, who need a lot more of it.",Strong Research,"Vegetarians have a higher risk of deficiency, Consult your doctor first, ","Vegetarian, Gluten Free, Vegan, ",1 capsule,18 mgIron+,"Iron, Citric Acid, Maltodextrin, Silica, Rice flour, Vegetable stearic acid, Hypromellose, Water, ","Milk, Eggs, Fish, Shellfish, Tree Nuts, Peanuts, Soy, Wheat, Ragweed"
