ingredient,description
Acacia gum,A natural release agent to facilitate the smooth ejection of tablets and capsules from manufacturing equipment.
Algae oil ,Algae oil is a good source of omega-3 fatty acids: EPA and DHA. This is a good vegan alternative to fish oil. 
Ascorbyl palmitate,Ascorbyl palmitate is a preservative to ensure the freshness of the finished product. 
Ashwagandha Extract,"Ashwagandha is an ayurvedic herb, popular in traditional Indian medicine. Our Non-GMO, organic Ashwagandha is sourced directly from India. Ashwagandha supports relaxation, weight management, exercise recovery, and mood."
Astaxanthin,"Astaxanthin is derived from algae, and is known for giving shrimp, lobsters and crayfish their pinkish hue. Care/Of uses natural Astaxanthin, which has been shown to be 50x stronger than the synthetic version. Astaxanthin is a powerful antioxidant used to support the health of your brain, heart, and skin."
Astragalus root,"Astragalus has been used for centuries in traditional chinese medicine and there are over 2,000 species of astragalus. The astragalus in this product is non-GMO, organic and preservative-free. "
B12 methylcobalamin,(Reduced) B-12 (methylcobalamin)
Bacopa,"Bacopa monnieri is an ayurvedic herb used in traditional Indian medicine. Our non-GMO bacopa is prservative free and sourced directly from India. Bacopa supports relaxation, mood, and cognitive health. "
Beet Juice Color,"Beet Juice coloring made from rice protein concentrate, beet root juice and ascorbic acid. "
Bifidobacterium lactis,"Bifidobacterium lactis is a common bacteria culture found in the human gut and in dairy products. We use a highly studied strain of this beneficial bacteria. This ""good bacteria"" promotes balance in the intestinal tract and supports the immune system. "
Biotin,"Biotin is one of the eight water-soluble b vitamins. Biotin can be found in eggs, nuts, whole grains, meat and milk. The biotin used in this product is fermented for absorption. Biotin plays a role in glucose metabolism. "
Blueberry powder,"Blueberries are popular across the world and touted for their health benefits due to the pressence of anthocyanins and other polyphenols. The blueberries used in this product are kosher, organic, non-GMO and preservative-free. "
Calcium,Calcium is the most abundant mineral in the human body. We obtain most of the calcium in our diet through dairy products. Our calcium is derived from sustainably harvested red seaweed in the pristine waters off the north-west coast of Iceland. Calcium promotes healthy bones.
Calcium Carbonate,Calcium carbonate is used in tablets and capsules to ensure a homogeneous fill for even dispersion of active ingredients.
