name,disclaimer,description,claim_title,claim_description,claim_reference
Vitamin B12,This scientific research is for informational use only. The results reported may not necessarily occur in all individuals. Care/of provides this information as a service. This information should not be read to recommend or endorse any specific products.,"Vitamin B12 is a necessary component of DNA production, the function of blood cells and nervous system processes. It is commonly found in animal products and not present in fruits or vegetables. As a result, vegans and vegetarians are at higher risk for vitamin B12 deficiency. Older adults are also found to have lower vitamin B12 levels because they have difficulty absorbing it. The FDA recommends 2.4mcg of vitamin B12 per day, but supplements often include much higher levels.  ",Cognitive and Nervous System,"From 2006 to 2008, men and women aged 45 to 69 from Eastern Europe were studied to observe the effect of serum folate and B12 on cognitive function. Immediate and delayed recall tests, verbal fluency tests, and letter search tests were administered at the baseline and end of the study period. Participants with the highest levels of folate scored the best on verbal fluency and immediate recall test. High vitamin B12 levels were also associated with better word recall and higher verbal fluency scores. This study provides exciting results to be expanded upon with randomized, double-blind, placebo-controlled studies.A cross-sectional study  was performed on 2,287 adults aged 72 to 83. The study found 7% of participants were deficient in B12 and an additional 10% of participants had low levels. B12 deficient status was associated with greater insensitivity to light and touch and worse nerve conduction amplitude and velocity.  
","[<li class=""reference"" data-id=""folate-b12-cognitive-gerontology-2016""><div class=""reference__title"">Serum folate, vitamin B-12 and cognitive function in middle and older age: The HAPIEE study.</div><div class=""reference__authors"">Horvat P, Gardiner J, Kubinova R, Pajak A, Tamosiunas A, Schöttker B, Pikhart H, Peasey A, Jansen E, Bobak M., </div><div class=""reference__journal"">Experimental gerontology, </div><div class=""reference__year"">2016</div></li>, <li class=""reference"" data-id=""B12-nerve-function-geriatrics-2012""><div class=""reference__title"">Relationship between vitamin B12 and sensory and motor peripheral nerve function in older adults.</div><div class=""reference__authors"">Leishear K, Boudreau RM, Studenski SA, Ferrucci L, Rosano C, de Rekeneire N, Houston DK, Kritchevsky SB, Schwartz AV, Vinik AI, Hogervorst E, Yaffe K, Harris TB, Newman AB, Strotmeyer ES; Health, Aging and Body Composition Study., </div><div class=""reference__journal"">Journal of the American Geriatrics Society, </div><div class=""reference__year"">2012</div></li>]"
Vitamin B12,This scientific research is for informational use only. The results reported may not necessarily occur in all individuals. Care/of provides this information as a service. This information should not be read to recommend or endorse any specific products.,"Vitamin B12 is a necessary component of DNA production, the function of blood cells and nervous system processes. It is commonly found in animal products and not present in fruits or vegetables. As a result, vegans and vegetarians are at higher risk for vitamin B12 deficiency. Older adults are also found to have lower vitamin B12 levels because they have difficulty absorbing it. The FDA recommends 2.4mcg of vitamin B12 per day, but supplements often include much higher levels.  ",Vegetarian,"Vegetarians and vegans are often deficient in vitamin B12 because it is a vitamin largely found in animal products, not in plant or grain-based products except those that are fortified with it. ","[<li class=""reference"" data-id=""vegan-diet-deficiency-AJCN-2009""><div class=""reference__title"">Health effects of vegan diets</div><div class=""reference__authors"">Winston J Craig, </div><div class=""reference__journal"">The American Journal of Clinical Nutrition, </div><div class=""reference__year"">2009</div></li>, <li class=""reference"" data-id=""plant-based-diets-2013-permanente""><div class=""reference__title"">Nutritional Update for Physicians: Plant-Based Diets</div><div class=""reference__authors"">Tuso PJ, Ismail MH, Ha BP, Bartolotto C., </div><div class=""reference__journal"">The Permanente Journal, </div><div class=""reference__year"">2013</div></li>, <li class=""reference"" data-id=""vitaminb12-NIH-Fact-Sheet""><div class=""reference__title"">Vitamin B12 - Dietary Supplement Fact Sheet</div><div class=""reference__authors"">Office of dietary supplements, </div><div class=""reference__journal"">National Institutes of Health, </div><div class=""reference__year"">2016</div></li>]"
B-Complex,This scientific research is for informational use only. The results reported may not necessarily occur in all individuals. Care/of provides this information as a service. This information should not be read to recommend or endorse any specific products.,"B vitamins are found in many foods, but if you aren’t eating a balanced diet, you may be missing some of these eight essential vitamins. For instance, vitamin B12 can only be obtained through meat products. If you aren’t sure that you are getting enough B vitamins from your diet, supplementation may be beneficial to you.  ",Gluten Free,"People adhering to a gluten-free diet may be low in folic acid, Vitamin B12 and Vitamin B6. Supplementing with a b-complex may be a good way to fill in nutritional gaps associated with a gluten-free diet. ","[<li class=""reference"" data-id=""B-Complex-gluten-free-pharmacology-2009""><div class=""reference__title"">Clinical trial: B vitamins improve health in patients with coeliac disease living on a gluten-free diet</div><div class=""reference__authors"">Hallert C, Svensson M, Tholstrup J, Hultberg B., </div><div class=""reference__journal"">Ailment Pharmacology &amp; Therapeutics, </div><div class=""reference__year"">2009</div></li>, <li class=""reference"" data-id=""b-complex-celiac-2002-pharmacology""><div class=""reference__title"">Evidence of poor vitamin status in coeliac patients on a gluten-free diet for 10 years</div><div class=""reference__authors"">Hallert C, Grant C, Grehn S, Granno C , Hulten S, Midhagen G, Strom M, Svensson H, &amp; Valdimarsson T. , </div><div class=""reference__journal"">Ailment Pharmacology &amp; Therapeutics, </div><div class=""reference__year"">2002</div></li>]"
B-Complex,This scientific research is for informational use only. The results reported may not necessarily occur in all individuals. Care/of provides this information as a service. This information should not be read to recommend or endorse any specific products.,"B vitamins are found in many foods, but if you aren’t eating a balanced diet, you may be missing some of these eight essential vitamins. For instance, vitamin B12 can only be obtained through meat products. If you aren’t sure that you are getting enough B vitamins from your diet, supplementation may be beneficial to you.  ",Gluten Free,"People adhering to a gluten-free diet may be low in folic acid, Vitamin B12 and Vitamin B6. Supplementing with a b-complex may be a good way to fill in nutritional gaps associated with a gluten-free diet. ","[<li class=""reference"" data-id=""B-Complex-gluten-free-pharmacology-2009""><div class=""reference__title"">Clinical trial: B vitamins improve health in patients with coeliac disease living on a gluten-free diet</div><div class=""reference__authors"">Hallert C, Svensson M, Tholstrup J, Hultberg B., </div><div class=""reference__journal"">Ailment Pharmacology &amp; Therapeutics, </div><div class=""reference__year"">2009</div></li>, <li class=""reference"" data-id=""b-complex-celiac-2002-pharmacology""><div class=""reference__title"">Evidence of poor vitamin status in coeliac patients on a gluten-free diet for 10 years</div><div class=""reference__authors"">Hallert C, Grant C, Grehn S, Granno C , Hulten S, Midhagen G, Strom M, Svensson H, &amp; Valdimarsson T. , </div><div class=""reference__journal"">Ailment Pharmacology &amp; Therapeutics, </div><div class=""reference__year"">2002</div></li>]"
B-Complex,This scientific research is for informational use only. The results reported may not necessarily occur in all individuals. Care/of provides this information as a service. This information should not be read to recommend or endorse any specific products.,"B vitamins are found in many foods, but if you aren’t eating a balanced diet, you may be missing some of these eight essential vitamins. For instance, vitamin B12 can only be obtained through meat products. If you aren’t sure that you are getting enough B vitamins from your diet, supplementation may be beneficial to you.  ",Risk Factors,"B vitamins are very important and many people get less than the recommended daily amount of these nutrients.  Certain groups are at higher risk for depletion of B vitamins, including people adhering to a gluten-free diet, people who don’t eat enough fruits and vegetables, and people who frequently consume alcohol. ","[<li class=""reference"" data-id=""alcohol-research-health-2013""><div class=""reference__title"">Relationships between nutrition, alcohol use, and liver disease.</div><div class=""reference__authors"">Lieber CS., </div><div class=""reference__journal"">Alcohol Research and Health, </div><div class=""reference__year"">2003</div></li>, <li class=""reference"" data-id=""alcohol-CDC-FAQ""><div class=""reference__title"">Frequently asked questions - Alcohol</div><div class=""reference__authors"">Centers for Disease Control and Prevention, </div><div class=""reference__journal"">Centers for Disease Control and Prevention, </div><div class=""reference__year"">2016</div></li>, <li class=""reference"" data-id=""fruits-veggies-2012-advances-nutrition""><div class=""reference__title"">Health Benefits of Fruits and Vegetables</div><div class=""reference__authors"">Slavin JL &amp; Lloyd B. , </div><div class=""reference__journal"">Advances in nutrition, </div><div class=""reference__year"">2012</div></li>, <li class=""reference"" data-id=""b-complex-celiac-2002-pharmacology""><div class=""reference__title"">Evidence of poor vitamin status in coeliac patients on a gluten-free diet for 10 years</div><div class=""reference__authors"">Hallert C, Grant C, Grehn S, Granno C , Hulten S, Midhagen G, Strom M, Svensson H, &amp; Valdimarsson T. , </div><div class=""reference__journal"">Ailment Pharmacology &amp; Therapeutics, </div><div class=""reference__year"">2002</div></li>, <li class=""reference"" data-id=""B-Complex-gluten-free-pharmacology-2009""><div class=""reference__title"">Clinical trial: B vitamins improve health in patients with coeliac disease living on a gluten-free diet</div><div class=""reference__authors"">Hallert C, Svensson M, Tholstrup J, Hultberg B., </div><div class=""reference__journal"">Ailment Pharmacology &amp; Therapeutics, </div><div class=""reference__year"">2009</div></li>]"
B-Complex,This scientific research is for informational use only. The results reported may not necessarily occur in all individuals. Care/of provides this information as a service. This information should not be read to recommend or endorse any specific products.,"B vitamins are found in many foods, but if you aren’t eating a balanced diet, you may be missing some of these eight essential vitamins. For instance, vitamin B12 can only be obtained through meat products. If you aren’t sure that you are getting enough B vitamins from your diet, supplementation may be beneficial to you.  ",Nervous System,"B vitamins are essential for the nervous system. They are important for several aspects of brain function: chemical signaling, energy production and synthesis of DNA and RNA all depend on these water soluble vitamins. B vitamins support homocysteine levels and are necessary for proper cellular functioning as they are a coenzyme for enzymatic reactions.For more information on B vitamins, check out the scientific articles below:http://advances.nutrition.org/content/3/6/801.fullhttp://www.mdpi.com/2072-6643/8/2/68/htm","[<li class=""reference"" data-id=""B-Vitamins-Nutrients-2016-Review""><div class=""reference__title"">B Vitamins and the Brain: Mechanisms, Dose and Efficacy—A Review
</div><div class=""reference__authors"">Kennedy, DO, </div><div class=""reference__journal"">Nutrients, </div><div class=""reference__year"">2016</div></li>, <li class=""reference"" data-id=""b-complex-overview-Morris-2012""><div class=""reference__title"">The Role of B Vitamins in Preventing and Treating Cognitive Impairment and Decline</div><div class=""reference__authors"">Martha Savaria Morris, </div><div class=""reference__journal"">Advances in Nutrition: An International Review Journal, </div><div class=""reference__year"">2012</div></li>]"
Vitamin C,This scientific research is for informational use only. The results reported may not necessarily occur in all individuals. Care/of provides this information as a service. This information should not be read to recommend or endorse any specific products.,"Vitamin C is a water-soluble vitamin found in abundance in foods such as peppers, citrus fruits, broccoli and strawberries. Most animals can synthesize vitamin C endogenously, but humans cannot. Vitamin C is known for its antioxidant properties and ability to fight free radicals. In the 1700s, scurvy was a common problem for sailors on long trips out at sea, causing symptoms such as bleeding gums, poor wound-healing, depression, seizures, and other symptoms leading to death. In 1747, a Scottish Naval surgeon, James Lind, discovered citrus fruits, high in vitamin C, can prevent scurvy.",Immune system,"A meta-analysis reviewed 60+ studies on the effect of vitamin C on the common cold. The six largest studies in the review concluded vitamin C does not help prevent colds in normal adults, but it may help prevent colds in people under acute physical stress. Vitamin C supplementation does have an effect on reducing the duration of colds. In the four largest studies, the duration of colds for subjects was reduced by only 5%, however, two of these studies found a 12 – 41% reduction on school or work absence, which may indicate vitamin C’s ability to reduce symptoms. Three studies showed at least 80% reduction in incidence of pneumonia from people using vitamin C.A smaller review examined the effect of Vitamin C on patients under acute physical stress. This analysis was on three placebo-controlled studies of skiers, military troops and ultra-marathon runners. Each of the studies found a significant reduction in the incidence of the common cold.  A further examination of the study on ultra-marathon runners reported 600mg of vitamin C per day resulted in a 35% decrease in incidence of colds. 
","[<li class=""reference"" data-id=""vitamin-c-immune-IJTLD-1999""><div class=""reference__title"">Vitamin C and acute respiratory infections</div><div class=""reference__authors"">Hemilä H &amp; Douglas RM. , </div><div class=""reference__journal"">International Journal of Tuberculosis and Lung Disease, </div><div class=""reference__year"">1999</div></li>, <li class=""reference"" data-id=""Vitamin-C-URTI-1996-IJSM""><div class=""reference__title"">Vitamin C and common cold incidence- a review of studies with subjects under heavy physical stress</div><div class=""reference__authors"">Hemilä H., </div><div class=""reference__journal"">International journal of sports medicine, </div><div class=""reference__year"">1996</div></li>, <li class=""reference"" data-id=""vitamin-c-1993-AJCN""><div class=""reference__title"">Vitamin C supplementation reduces the incidence of postrace symptoms of upper-respiratory-tract infection in ultramarathon runners.</div><div class=""reference__authors"">Peters EM, Goetzsche JM, Grobbelaar B, Noakes TD., </div><div class=""reference__journal"">The American Journal of Clinical Nutrition, </div><div class=""reference__year"">1993</div></li>]"
Vitamin C,This scientific research is for informational use only. The results reported may not necessarily occur in all individuals. Care/of provides this information as a service. This information should not be read to recommend or endorse any specific products.,"Vitamin C is a water-soluble vitamin found in abundance in foods such as peppers, citrus fruits, broccoli and strawberries. Most animals can synthesize vitamin C endogenously, but humans cannot. Vitamin C is known for its antioxidant properties and ability to fight free radicals. In the 1700s, scurvy was a common problem for sailors on long trips out at sea, causing symptoms such as bleeding gums, poor wound-healing, depression, seizures, and other symptoms leading to death. In 1747, a Scottish Naval surgeon, James Lind, discovered citrus fruits, high in vitamin C, can prevent scurvy.",Fruits and vegetables,"Many Americans do not eat enough fruits and vegetables. The USDA recommends three to five daily servings of vegetables, and two to four servings of fruit. In fact, the 2010 Dietary Guidelines for Americans propose half of your plate at any given meal should be fruits and veggies. Fruits and vegetables are loaded with vitamin C, so if you aren’t eating enough of them, you may want to consider supplementation. ","[<li class=""reference"" data-id=""Vitamin-c-NIH-Fact-Sheet""><div class=""reference__title"">Vitamin C - Health Professional Fact Sheet</div><div class=""reference__authors"">Office of Dietary Supplements, </div><div class=""reference__journal"">National Institutes of Health, </div><div class=""reference__year"">2016</div></li>]"
Vitamin D,This scientific research is for informational use only. The results reported may not necessarily occur in all individuals. Care/of provides this information as a service. This information should not be read to recommend or endorse any specific products.,"Vitamin D3 is essential for bone health and many of us simply don’t get enough of it. The best source of Vitamin D3 is from direct sunlight; however, many people don’t get enough exposure to direct light as they would need to meet their vitamin D needs. Additionally, as we age, the capacity of our skin to synthesize Vitamin D3 decreases. Vitamin D3 is not highly prevalent in many foods, although many milk products on the market are fortified with Vitamin D. People who are lactose intolerant and those who don’t get enough sunlight may be at risk of deficiency.",Sunlight,"Vitamin D is found in our diet, but we also produce it through exposure to sunlight. However, a number of factors impact the ability for people to get necessary levels of vitamin D through sun exposure.Regional factors that prevent people from getting sun exposure include cloud cover patterns, smog, and the angle with which the sun hits the earth. In cities north of 37 degrees latitude (imagine a line drawn between San Francisco and Richmond, VA), it’s hard for people to produce enough vitamin D from sun exposure, especially between the months of November and March.The ability for skin to absorb light also impacts how well people can produce vitamin D, as does the use of sunscreen and the number of hours per day spent inside. It should be noted that UVB rays necessary to produce vitamin D do not penetrate glass, so sitting near a window indoors won’t help you produce sufficient vitamin D. ","[<li class=""reference"" data-id=""VitaminD-NIH-2016""><div class=""reference__title"">Vitamin D - Fact Sheet for Health Professionals</div><div class=""reference__authors"">National Institute of Health - Office of Dietary Supplements, </div><div class=""reference__journal"">National Institute of Health - Office of Dietary Supplements, </div><div class=""reference__year"">2016</div></li>]"
Prenatal,This scientific research is for informational use only. The results reported may not necessarily occur in all individuals. Care/of provides this information as a service. This information should not be read to recommend or endorse any specific products.,"Research has shown that certain nutrients, like folic acid and iron, are essential for a healthy pregnancy and can reduce the chance of birth defects. Prenatal vitamins including these key nutrients are recommended for women who are pregnant, for woman who are planning to become pregnant, and for women who are breastfeeding.",Prenatal,"Most women who are expecting take nutrition and wellness seriously for good reason, and as part of that, discover the importance of prenatal vitamins. A study published in the American Journal of Epidemiology in 2009 found that 95% of pregnant women surveyed were taking vitamins to support a healthy pregnancy. This study also found significantly lower rates of miscarriages for women who take vitamins during pregnancy (1) Below we examine some of the ingredients commonly found in prenatal vitamins and how they support pregnancy.Folic AcidThis B-vitamin is the most well-researched nutrient for pregnant women. Consuming folic acid has been shown to prevent neural tube defects, or birth defects of the brain, spine, or spinal cord. In 1999, the American Academy of Pediatrics recommended that all women capable of becoming pregnant should consume 400mcg of folic acid per day in order to prevent neural tube defects. They believe that supplementing with 400mcg of folic acid per day could prevent approximately 50% of neural tube defects (3). A separate study in the Journal of the American Medical Association (JAMA) found a 72% reduction in neural tube defects among mothers who supplemented with folic acid (4). In 2010, a meta-analysis published in the International Journal of Epidemiology suggests folic acid can reduce neural tube defects by 46%. (20).The FDA noted these results in an April 2015 statement: “The available data show that diets adequate in folate may reduce the risk of neural tube defects. The strongest evidence for this relationship comes from an intervention study by the Medical Research Council of the United Kingdom that showed that women at risk of recurrence of a neural tube defect pregnancy who consumed a supplement containing 4 milligrams (4,000 micrograms (mcg)) folic acid daily before conception and continuing into early pregnancy had a reduced risk of having a child with a neural tube defect” (2). It should be noted that folic acid supplementation is recommended both for pregnant women and women seeking to become pregnant.Vitamin B12Recent studies have shown that B12 deficiency during pregnancy has become more prevalent as folic acid intake has increased (6). A study in India found that babies born with high folic acid and low vitamin B12 were more likely to have higher adiposity and insulin resistance (5). B12 is often poorly digested and vegetarians are at high risk of B12 deficiency. A review study published in 2014 in Nutrition Reviews claims that B12 deficiency in infants can cause: “irritability, failure to thrive, apathy, anorexia and developmental regression”(7).Vitamin CA randomized, double-blind placebo controlled study published in 2005 suggests vitamin C supplementation during pregnancy reduces the risk of PROM (premature rupture of the chorioamniotic membranes) (8). The FDA has set a recommended daily intake of 120 mg per day of vitamin C for pregnant and lactating women, compared to 90mg for men and non-pregnant females.Vitamin DA 2009 study published in The Journal of Clinical Endocrinology and Metabolism found that women who were deficient in vitamin D were almost four times more likely to need a caesarean section (9). Another study published in 2007 found that women who had preeclampsia were twice as likely to be deficient in vitamin D (10).CholineCholine is a water-soluble vitamin that humans produce in the liver and can get from several food sources including milk, brown rice, and certain nuts and vegetables. A study published in the American Journal of Epidemiology found that women in the highest percentile of dietary choline intake had significantly less risk of neural tube defects when compared to pregnant women who were in the bottom 25th percent of dietary choline intake (11). A review article published in The Journal of Pediatrics in 2006 concludes that choline is needed for brain hippocampal development and normal neural tube closure (12).Vitamin EA study published in the American Journal of Respiratory and Critical Care Medicine suggests that women with higher rates of vitamin E during pregnancy produce children with lower rates of asthma symptoms (13).Vitamin AVitamin A is important for lung development, especially in the second and third trimester (14). A study published in 1984 in the American Journal of Clinical Nutrition states that “mothers of premature infants had lower levels of serum vitamin A than those of full-term infants suggesting maternal vitamin A status to be one of the correlates of prematurity. Significant correlations were found between cord serum vitamin A, maternal serum vitamin A, gestational age, and growth status” (15).ZincZinc deficiency can lead to poor fetal growth and low birth weight. A study published in the Journal of American Medicine in 1995 studied 580 low-income women with low serum zinc concentrations. These women were given 25mg per day of zinc or a placebo. The group supplementing with zinc had a 37% reduction in the number of babies born with very low birth weight (16).SeleniumA study published in The American Journal of Obstetrics and Gynecology found that women in the UK who experienced preeclampsia had lower selenium levels than a sample of women who did not experience preeclampsia (18).IronAccording to a CDC report from 1998, “iron deficiency is the most common known form of nutritional deficiency. Its prevalence is highest among young children and women of childbearing age (particularly pregnant women). In children, iron deficiency causes developmental delays and behavioral disturbances, and in pregnant women, it increases the risk for a preterm delivery and delivering a low-birthweight baby” (19). In the same report, the CDC recommends a low-dose iron supplement for all pregnant women. The CDC report also states that “among pregnant women, iron deficiency anemia during the first two trimesters of pregnancy is associated with a twofold increased risk for preterm delivery and a threefold increased risk for delivering a low birth weight baby . Evidence from randomized control trials indicates that iron supplementation decreases the incidence of iron deficiency anemia during pregnancy, but trials of the effect of universal iron supplementation during pregnancy on adverse maternal and infant outcomes are inconclusive” (19).Fish OilThe FDA recommends that pregnant women consume 2-3 servings of fish per week. A fish oil supplement can be a good substitution if you do not eat fish (21).CalciumCalcium has been shown to be beneficial for gestational hypertension. A double-blind, placebo-controlled study was performed on 189 pregnant subjects from 20-weeks’ gestation until delivery. The rate of pregnancy-induced hypertension was 8.24% in the calcium group and 29.03% in the placebo group. The incidence of gestational hypertension was 6.18% in the calcium group and 17.20% in the placebo group. The rate of preeclampsia was also lower for the calcium group, at 2.06%, compared to 11.82% in the placebo group.A 1999 clinical trial on 456 pregnant Australian women also examined the effect of calcium on gestational hypertension. This study concluded that calcium reduced the risk of preeclampsia and preterm birth, but did not decrease the frequency of pregnancy-induced hypertension.In 2010, a meta-analysis reviewed 13 high quality studies involving a total of 15,730 pregnant women. Twelve of the 13 studies, including 15,470 subjects, suggest that calcium supplementation reduces the risk of hypertension during pregnancy. The analysis also concluded that calcium reduces the risk of preterm birth. Most of the women in the trials were low-risk for preterm birth and had a low calcium diet.Coenzyme Q10197 pregnant women with high-risk of preeclampsia were enrolled in a randomized, double-blind, placebo-controlled trial. They were designated to receive 200mg of CoQ10 or a placebo daily from 20 weeks of pregnancy until delivery. 30 women in the placebo group experienced pre-eclampsia, compared to 17 in the CoQ10 group.MagnesiumOne of the functions of magnesium is regulating blood pressure. A common problem that women experience during pregnancy is gestational hypertension, or high blood pressure. 61 pregnant women were enrolled in a double-blind, placebo-controlled study to assess the effect of magnesium on gestational hypertension. After 12 weeks of supplementation, the average diastolic blood pressure and incidence of hypertension was significantly lower in the group receiving magnesium. Higher urinary magnesium levels were associated with lower blood pressure during the study.  ","[<li class=""reference"" data-id=""prenatal-epidemilogy-2009""><div class=""reference__title"">Self-reported Vitamin Supplementation in Early Pregnancy and Risk of Miscarriage</div><div class=""reference__authors"">Hasan R, Olshan AF, Herring AH, Savitz DA, Siega-Riz AM, Hartmann KE., </div><div class=""reference__journal"">American Journal of Epidemiology, </div><div class=""reference__year"">2009</div></li>, <li class=""reference"" data-id=""Folic Acid-FDA-Approved-Health-Claim-2015""><div class=""reference__title"">CFR - Code of Federal Regulations Title 21 - Part 101 Food Labeling - Subpart E -- Specific Requirements for Health Claims -- Sec. 101.79 Health claims: Folate and neural tube defects.</div><div class=""reference__authors"">US Food and Drug Administration, </div><div class=""reference__journal"">Code of Federal Regulations, </div><div class=""reference__year"">2015</div></li>, <li class=""reference"" data-id=""folate-american-academy-of-pediatrics-1999""><div class=""reference__title"">Folic Acid for the Prevention of Neural Tube Defects</div><div class=""reference__authors"">Committee on genetics, </div><div class=""reference__journal"">Pediatrics, </div><div class=""reference__year"">1999</div></li>, <li class=""reference"" data-id=""folate-neural-tube-2007-ASCN""><div class=""reference__title"">Folate and neural tube defects</div><div class=""reference__authors"">Roy M Pitkin, </div><div class=""reference__journal"">American society for clinical nutrition, </div><div class=""reference__year"">2007</div></li>, <li class=""reference"" data-id=""b12-prenatal-2010-sage-journal""><div class=""reference__title"">Role of maternal vitamin B12 on the metabolic health of the offspring- a contributor to the diabetes epidemic?</div><div class=""reference__authors"">Ponnusamy S, Chitranjan SY., </div><div class=""reference__journal"">Sage Journals, </div><div class=""reference__year"">2010</div></li>, <li class=""reference"" data-id=""b12-prenatal-2008-monthly-journal""><div class=""reference__title"">High rate of maternal vitamin B12 deficiency nearly a decade after Canadian folic acid flour fortification</div><div class=""reference__authors"">Ray JG, Goodman J, O'Mahoney PR, Mamdani MM, Jiang D., </div><div class=""reference__journal"">Monthly journal of the association of physicians, </div><div class=""reference__year"">2008</div></li>, <li class=""reference"" data-id=""B12-prenatal-2008-nutrition-reviews""><div class=""reference__title"">Effect of vitamin B12 deficiency on neurodevelopment in infants- current knowledge and possible mechanisms</div><div class=""reference__authors"">Dror DK, Allen LH., </div><div class=""reference__journal"">Nutrition Reviews, </div><div class=""reference__year"">2008</div></li>, <li class=""reference"" data-id=""vitamin-c-2005-AJCN""><div class=""reference__title"">Vitamin C supplementation to prevent premature rupture of the chorioamniotic membranes: a randomized trial.</div><div class=""reference__authors"">Casanueva E, Ripoll C, Tolentino M, Morales RM, Pfeffer F, Vilchis P, Vadillo-Ortega F., </div><div class=""reference__journal"">American Journal of Clinical Nutrition, </div><div class=""reference__year"">2005</div></li>, <li class=""reference"" data-id=""pregnancy-vitaminD-2008-JCEM""><div class=""reference__title"">Association between Vitamin D Deficiency and Primary Cesarean Section</div><div class=""reference__authors"">Merewood A, Mehta SD, Chen TC, Bauchner H, and Holick MF. , </div><div class=""reference__journal"">The Journal of Clinical Endocrinology &amp; Metabolism, </div><div class=""reference__year"">2008</div></li>, <li class=""reference"" data-id=""vitaminD-pregnancy-JCEM-2007""><div class=""reference__title"">Maternal vitamin D deficiency increases the risk of preeclampsia.
</div><div class=""reference__authors"">Bodnar LM, Catov JM, Simhan HN, Holick MF, Powers RW, Roberts JM., </div><div class=""reference__journal"">The Journal of Clinical Endocrinology &amp; Metabolism, </div><div class=""reference__year"">2007</div></li>, <li class=""reference"" data-id=""choline-prenatal-2004-epidemiology""><div class=""reference__title"">Periconceptional Dietary Intake of Choline and Betaine and Neural Tube Defects in Offspring</div><div class=""reference__authors"">Shaw GM, Carmichael SL, Yang W, Selvin S, Schaffer DM., </div><div class=""reference__journal"">American Journal of Epidemiology, </div><div class=""reference__year"">2004</div></li>, <li class=""reference"" data-id=""choline-prenatal-pediatrics-2006""><div class=""reference__title"">The Fetal Origins Of Memory: The Role Of Dietary Choline In Optimal Brain Development</div><div class=""reference__authors"">Zeisel SH, </div><div class=""reference__journal"">The Journal of Pediatrics, </div><div class=""reference__year"">2006</div></li>, <li class=""reference"" data-id=""vitaminE-prenatal-AJRCCM-2006""><div class=""reference__title"">Low Maternal Vitamin E Intake during Pregnancy Is Associated with Asthma in 5-Year-Old Children</div><div class=""reference__authors"">Devereux G, Turner SW, Craig LC, McNeill G, Martindale S, Harbour PJ, Helms PJ, Seaton A., </div><div class=""reference__journal"">American Journal of Respiratory and Critical Care Medicine, </div><div class=""reference__year"">2006</div></li>, <li class=""reference"" data-id=""VitaminA-prenatal-2007-EJN""><div class=""reference__title"">The importance of beta-carotene as a source of vitamin A with special regard to pregnant and breastfeeding women.</div><div class=""reference__authors"">Strobel M, Tinz J, Biesalski HK., </div><div class=""reference__journal"">European Journal of Nutrition, </div><div class=""reference__year"">2007</div></li>, <li class=""reference"" data-id=""VitaminA-prenatal-AJCN-1984""><div class=""reference__title"">Vitamin A status of the newborn in relation to gestational age, body weight, and maternal nutritional status</div><div class=""reference__authors"">Shah RS, Rajalakshmi R., </div><div class=""reference__journal"">American Journal of Clinical Nutrition, </div><div class=""reference__year"">1984</div></li>, <li class=""reference"" data-id=""zinc-prenatal-JAMA-1995""><div class=""reference__title"">The effect of zinc supplementation on pregnancy outcome. </div><div class=""reference__authors"">Goldenberg RL, Tamura T, Neggers Y, Copper RL, Johnston KE, DuBard MB, Hauth JC., </div><div class=""reference__journal"">The Journal of the American Medical Association, </div><div class=""reference__year"">1995</div></li>, <li class=""reference"" data-id=""zinc-prenatal-Indian-journal-1993""><div class=""reference__title"">A Study Of The Effect Of Oral Zinc Supplementation During Preganancy On Pregnancy Outcome</div><div class=""reference__authors"">Garg HK, Singhal KC, Arshad Z., </div><div class=""reference__journal"">Indian Journal of Physiology and Pharmacology, </div><div class=""reference__year"">1993</div></li>, <li class=""reference"" data-id=""selenium-prenatal-AJOG-2003""><div class=""reference__title"">Low selenium status is associated with the occurrence of the pregnancy disease preeclampsia in women from the United Kingdom</div><div class=""reference__authors"">Rayman MP, Bode P, Redman CW., </div><div class=""reference__journal"">American Journal of Obstetrics and Glynecology, </div><div class=""reference__year"">2003</div></li>, <li class=""reference"" data-id=""iron-prenatal-1998-CDC""><div class=""reference__title"">Recommendations to Prevent and Control Iron Deficiency in the United States</div><div class=""reference__authors"">Center for Disease Control, </div><div class=""reference__journal"">Center for Disease Control, </div><div class=""reference__year"">1998</div></li>, <li class=""reference"" data-id=""folate-prenatal-2010-epidemeology""><div class=""reference__title"">Folic acid to reduce neonatal mortality from neural tube disorders</div><div class=""reference__authors"">Blencowe H, Cousens S, Modell B, Lawn J, </div><div class=""reference__journal"">International Journal of Epidemeology, </div><div class=""reference__year"">2010</div></li>, <li class=""reference"" data-id=""prenatal-fish-FDA""><div class=""reference__title"">Eating Fish: What Pregnant Women and Parents Should Know</div><div class=""reference__authors"">U.S. Food and Drug Administration, </div><div class=""reference__journal"">U.S. Food and Drug Administration, </div><div class=""reference__year"">2014</div></li>]"
